стимул,лемма,частота,часть речи стимула,часть речи ассоциации,st_arousal,st_dominance,st_valence,st_abstract,ass_arousal,ass_dominance,ass_valence,ass_abstract,RuWordNet,общая ЛСГ,FB_точные примеры,Dice Score,Delta P,PMI,Wu Palmer,косинусное сходство_Sentence‑BERT,тип связи;;
административный,срок,2,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.212121212121212,3.090909090909091,2.76595744680851,2.8,, , ,0.006116207951070336,0.003710530145914528,3.66457073437057,0.0,0.4985407590866089,синтагматический;;
административный,статья,2,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.939393939393939,2.96969696969697,2.84259259259259,1.909090909090909,, , ,0.006622516556291391,0.003811696185688968,4.21772449686105,0.0,0.592057466506958,синтагматический;;
административный,управление,2,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.121212121212121,3.696969696969697,3.32,2.60377358490566,, , ,0.007079646017699115,0.003890605696713031,4.871728642011857,0.0,0.8438082933425903,синтагматический;;
административный,уровень,2,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.03030303030303,3.0,3.244186046511625,3.136363636363636,, , ,0.004069175991861648,0.003044857604198711,2.034378979656415,0.0,0.4810813963413239,синтагматический;;
административный,участок,2,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.32258064516129,2.903225806451613,3.5,2.173076923076923,, , ,0.006504065040650406,0.003789439656938591,4.076548433900355,0.0,0.6321620345115662,синтагматический;;
административный,власть,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.9,3.933333333333333,2.75,3.175,, , ,0.002141327623126338,0.001129904567774528,1.187702013761598,0.0,0.6200582981109619,синтагматический;;
административный,государство,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.741935483870968,2.903225806451613,3.375,2.340909090909091,, , ,0.002463054187192118,0.001376749704824162,1.659983464874918,0.0,0.6904646754264832,синтагматический;;
административный,день,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.428571428571428,3.464285714285714,4.45454545454545,2.275,, , ,0.0004901960784313725,-0.00523546265483325,-1.84776084494854,0.0,0.5345764756202698,синтагматический;;
административный,директор,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.766666666666667,3.066666666666667,3.382978723404255,1.85,, , ,0.001774622892635315,0.0007394036542451884,0.6599834648749179,0.0,0.69700688123703,синтагматический;;
административный,договор,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.0,3.392857142857143,3.78,2.125,, , ,0.00199203187250996,0.0009882721120903113,0.9733495462588561,0.0,0.5761730670928955,синтагматический;;
административный,задача,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.233333333333333,3.166666666666667,3.48076923076923,2.39622641509434,, , ,0.001473839351510685,0.0002740398712827634,0.2109986336727362,0.0,0.64014732837677,синтагматический;;
административный,зал,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.848484848484849,2.696969696969697,3.51086956521739,2.275,, , ,0.002747252747252747,0.001546708651645221,2.107442441846139,0.0,0.5648676156997681,синтагматический;;
административный,исполнительный,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.3,3.7,3.79,2.933333333333333,,прилагательные: относительные, ,0.00396039603960396,0.001997909189039224,6.959191483262196,0.0,0.7202339172363281,парадигматический;;
административный,мир,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.970588235294118,3.823529411764706,4.51162790697674,3.65,, , ,0.0007057163020465773,-0.0027144049436542,-1.231250535520629,0.0,0.4556050002574921,синтагматический;;
административный,новый,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.666666666666667,4.272727272727272,4.209302325581395,2.9,, , ,0.00138121546961326,8.991767889328221e-05,0.06588995240163308,0.0,0.4372000694274902,парадигматический;;
административный,номер,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.266666666666667,2.6,3.29,2.35,, , ,0.001821493624772313,0.0007980799573143636,0.7279703025510111,0.0,0.459006667137146,синтагматический;;
административный,основной,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.96551724137931,3.517241379310345,4.068181818181815,2.966666666666667,,прилагательные: относительные, ,0.003696857670979667,0.001925069640401628,4.499759864624899,0.0,0.5984965562820435,парадигматический;;
административный,политический,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.235294117647059,2.735294117647059,2.76086956521739,3.330981,,прилагательные: относительные, ,0.003703703703703704,0.001927092961197116,4.532926728560098,0.5,0.4924796223640442,парадигматический;;
административный,правило,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.470588235294118,3.352941176470588,3.46,2.547169811320755,, , ,0.002344665885111371,0.001293793552209121,1.483458052295799,0.0,0.6211653351783752,синтагматический;;
административный,правительство,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.272727272727273,3.636363636363636,2.68,2.358490566037736,, , ,0.003584229390681004,0.001890673186878318,4.02845414569931,0.0,0.7345535755157471,синтагматический;;
административный,правовой,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.9,3.2,3.53,2.433333333333333,,прилагательные: относительные, ,0.0037243947858473,0.001933162923583583,4.637263388374834,0.0,0.6129531860351562,парадигматический;;
административный,председатель,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,2.933333333333333,2.6,2.91,2.076923076923077,, , ,0.003968253968253968,0.001999932509834713,7.151836561204592,0.0,0.6168622970581055,синтагматический;;
административный,проект,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.21875,3.0625,3.78723404255319,2.575,, , ,0.001839926402943882,0.0008203364860647406,0.754620339012993,0.0,0.5785326361656189,синтагматический;;
административный,процесс,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.064516129032258,3.0,3.925925925925925,3.522727272727273,, , ,0.002079002079002079,0.001073251585500841,1.098104577266803,0.0,0.5976192951202393,коллокативный / синтагматический;;
административный,состав,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.068965517241379,3.068965517241379,3.34782608695652,2.875,, , ,0.005979073243647235,0.003680180333982196,3.532926728560099,0.0,0.5908416509628296,синтагматический;;
административный,суд,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.774193548387097,2.967741935483871,1.91860465116279,2.363636363636364,, , ,0.00382043935052531,0.002915365073287428,1.855903674850175,0.0,0.4526816308498383,коллокативный / синтагматический;;
административный,судебный,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.133333333333333,1.8,1.913461538461535,2.166666666666667,,прилагательные: относительные, ,0.003710575139146568,0.001929116281992605,4.566874060483436,0.5,0.5318607091903687,парадигматический;;
административный,счет,1,A,S,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.529411764705882,3.323529411764706,3.223404255319145,2.490566037735849,, , ,0.002890173410404624,0.001619548200282818,2.351861169512586,0.0,0.5561381578445435,синтагматический;;
административный,центральный,1,A,A,2.903225806451613,2.290322580645161,2.804347826086955,2.3,3.433333333333333,3.4,3.81914893617021,2.709677419354839,,прилагательные: относительные, ,0.003629764065335753,0.001904836432446739,4.204303981098728,0.0,0.5458418130874634,парадигматический;;
