стимул,количество связей,взвешенная степень,центральность по степени,степень посредничества,степень близости
наблюдать,2,0.04122336296584711,0.004273504273504274,4.575486374201577e-05,0.00641025641025641
успеть,2,0.03725904467157724,0.004273504273504274,0.0007778326836142682,0.01566951566951567
кивнуть,2,0.04327901986362558,0.004273504273504274,0.001207928402789217,0.01311755011306581
происходить,2,0.04038378861400484,0.004273504273504274,8.235875473562839e-05,0.00641025641025641
голова,2,0.04634238689853565,0.004273504273504274,0.0,0.00641025641025641
помощь,2,0.05025128166020774,0.004273504273504274,0.0,0.004273504273504274
святой,2,0.04547627438754505,0.004273504273504274,0.0001647175094712568,0.008618233618233618
вера,2,0.04548856788569337,0.004273504273504274,0.0001647175094712568,0.009575815131370687
каменный,2,0.04133305439150491,0.004273504273504274,1.830194549680631e-05,0.004807692307692308
произойти,2,0.03728055049226442,0.004273504273504274,7.320778198722524e-05,0.005917159763313609
начинаться,2,0.04443133630020933,0.004273504273504274,0.0,0.004273504273504274
зеленый,2,0.03729089948361319,0.004273504273504274,0.0,0.004273504273504274
прекрасный,2,0.03219322411988369,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
бывший,2,0.06247999632902908,0.004273504273504274,0.0,0.004273504273504274
телефон,2,0.06892432550857702,0.004273504273504274,0.0,0.004273504273504274
создать,2,0.06144443336906097,0.004273504273504274,0.0,0.004273504273504274
директор,2,0.03899542907524778,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
красный,2,0.03737750024922552,0.004273504273504274,0.0,0.004273504273504274
плакать,2,0.06817572086263493,0.004273504273504274,0.0,0.01015699192782526
православный,2,0.06395838830840789,0.004273504273504274,0.0,0.009575815131370687
показаться,2,0.03319737254237771,0.004273504273504274,0.0001921704277164662,0.0120254422580004
музыка,2,0.04118787872032207,0.004273504273504274,0.0001372645912260473,0.007597340930674264
садиться,2,0.2287729495133414,0.004273504273504274,0.0,0.007867132867132868
позволять,2,0.06629715927352263,0.004273504273504274,0.0,0.004273504273504274
светлый,2,0.03583222921392072,0.004273504273504274,0.0,0.004884004884004884
мягкий,2,0.0564138410354042,0.004273504273504274,0.0,0.004273504273504274
нижний,2,0.05736051720983139,0.004273504273504274,0.0,0.004273504273504274
будущий,2,0.05167115207632483,0.004273504273504274,0.0,0.004273504273504274
оказаться,2,0.09308160788589787,0.004273504273504274,0.0,0.007525083612040135
заявить,2,0.0423472148862587,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
огонь,2,0.08686959590976634,0.004273504273504274,3.660389099361262e-05,0.005935422602089269
связь,2,0.06063045528182707,0.004273504273504274,0.0,0.004273504273504274
представление,2,0.04316771578948919,0.004273504273504274,0.0,0.01175213675213675
военный,2,0.0513579282484045,0.004273504273504274,0.0,0.005698005698005698
разговор,2,0.08363302778646026,0.004273504273504274,0.0,0.01413146703001775
род,2,0.1093178179580734,0.004273504273504274,0.0,0.005698005698005698
минимальный,2,0.04444453513841544,0.004273504273504274,0.0,0.004273504273504274
позволить,2,0.06775850851510531,0.004273504273504274,0.0,0.004273504273504274
налоговый,2,0.03740853915934599,0.004273504273504274,0.0,0.004273504273504274
лес,2,0.0577877346261524,0.004273504273504274,3.660389099361262e-05,0.005935422602089269
выход,2,0.05562291377855255,0.004273504273504274,0.0,0.004273504273504274
письмо,2,0.04041088859775914,0.004273504273504274,9.150972748403155e-06,0.004273504273504274
начать,2,0.04646888511367512,0.004273504273504274,0.0,0.004273504273504274
дойти,2,0.03817283825629897,0.004273504273504274,0.0,0.01515654753996723
узкий,2,0.05110220440881763,0.004273504273504274,2.745291824520946e-05,0.005698005698005698
женский,2,0.1185958172473698,0.004273504273504274,0.0,0.005698005698005698
доллар,2,0.09413253371769774,0.004273504273504274,0.0,0.004807692307692308
банк,2,0.03474776640763665,0.004273504273504274,0.0,0.004807692307692308
предыдущий,2,0.0608589193779234,0.004273504273504274,0.0,0.004273504273504274
следующий,1,0.04919688633436543,0.002136752136752137,0.0,0.002136752136752137
часть,1,0.01720774701630197,0.002136752136752137,0.0,0.002136752136752137
иностранный,1,0.01743920902156726,0.002136752136752137,0.0,0.007122507122507123
информационный,1,0.01816355446870713,0.002136752136752137,0.0,0.002136752136752137
оружие,1,0.01713723609282122,0.002136752136752137,0.0,0.002136752136752137
студент,1,0.02018164498735345,0.002136752136752137,0.0,0.002136752136752137
федеральный,1,0.01809053448911918,0.002136752136752137,0.0,0.002136752136752137
являться,1,0.02923410862893031,0.002136752136752137,0.0,0.00975649088856636
дерево,1,0.01637667183326862,0.002136752136752137,0.0,0.00410913872452334
квартира,1,0.01635995240896766,0.002136752136752137,0.0,0.002136752136752137
крепкий,1,0.02564697521530743,0.002136752136752137,0.0,0.004856254856254856
отношение,1,0.01927013366195399,0.002136752136752137,0.0,0.00641025641025641
понравиться,1,0.01812689740920685,0.002136752136752137,0.0,0.002136752136752137
областной,1,0.01810898182317451,0.002136752136752137,0.0,0.002136752136752137
объяснить,1,0.03313259691906243,0.002136752136752137,0.0,0.002136752136752137
правый,1,0.01909571848992503,0.002136752136752137,0.0,0.002136752136752137
меньший,1,0.01713713160353192,0.002136752136752137,0.0,0.002136752136752137
приводить,1,0.0511023070235829,0.002136752136752137,0.0,0.003418803418803419
магазин,1,0.01942740286298569,0.002136752136752137,0.0,0.002136752136752137
художник,1,0.02837055631205531,0.002136752136752137,0.0,0.002849002849002849
ценный,1,0.01809046139767479,0.002136752136752137,0.0,0.002136752136752137
длинный,1,0.02968956134867717,0.002136752136752137,0.0,0.002136752136752137
приходить,1,0.02311558956369556,0.002136752136752137,0.0,0.002136752136752137
проходить,1,0.07128528428040705,0.002136752136752137,0.0,0.002136752136752137
короткий,1,0.02968956134867717,0.002136752136752137,0.0,0.002136752136752137
круглый,1,0.01911468812877264,0.002136752136752137,0.0,0.002136752136752137
шаг,1,0.01821955674692419,0.002136752136752137,0.0,0.005494505494505494
одинаковый,1,0.03306619866231834,0.002136752136752137,0.0,0.002136752136752137
правовой,1,0.02522705623419181,0.002136752136752137,0.0,0.002849002849002849
японский,1,0.01907634368067231,0.002136752136752137,0.0,0.008547008547008548
перейти,1,0.01706827309236948,0.002136752136752137,0.0,0.004273504273504274
похожий,1,0.03306619866231834,0.002136752136752137,0.0,0.002136752136752137
прийти,1,0.02311558956369556,0.002136752136752137,0.0,0.002136752136752137
духовный,1,0.0201410788257597,0.002136752136752137,0.0,0.008340226082161567
судебный,1,0.01710275417351929,0.002136752136752137,0.0,0.002849002849002849
вызывать,1,0.07157316250531215,0.002136752136752137,0.0,0.002849002849002849
чувство,1,0.025303851103565,0.002136752136752137,0.0,0.003846153846153846
дочь,1,0.02558854973948222,0.002136752136752137,0.0,0.002136752136752137
подняться,1,0.01909556418295913,0.002136752136752137,0.0,0.002849002849002849
фамилия,1,0.03112456074214956,0.002136752136752137,0.0,0.002136752136752137
бог,1,0.0172422661021805,0.002136752136752137,0.0,0.005386396011396011
дополнительный,1,0.0171198475531398,0.002136752136752137,0.0,0.002136752136752137
судить,1,0.02208835341365462,0.002136752136752137,0.0,0.002136752136752137
гореть,1,0.0587370562579506,0.002136752136752137,0.0,0.00410913872452334
различный,1,0.0261569416498994,0.002136752136752137,0.0,0.002136752136752137
разный,1,0.0261569416498994,0.002136752136752137,0.0,0.002136752136752137
узнать,1,0.01921679467524114,0.002136752136752137,0.0,0.002136752136752137
